CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
EST,32,56.84,3.2,24.6,2.2,2.6,3.9,11.5,105.2,34.5,25.1,49.6,4531.6
EST,33,56.56,4.4,22.5,2.1,2.3,3.6,8.8,70.9,31.4,33.7,38.5,4346.3
EST,34,60.34,4.0,22.0,2.0,2.5,3.5,10.2,76.7,35.5,26.3,42.4,4299.2
EST,35,55.72,4.1,22.0,2.2,2.8,4.2,11.4,87.5,37.1,26.7,41.8,4386.6
EST,36,56.28,3.1,21.5,1.9,2.0,2.9,10.0,234.0,34.7,30.3,43.7,3571.0
EST,37,56.00,3.6,22.0,2.5,2.8,3.1,9.4,100.9,32.9,32.7,40.9,2535.6
EST,38,55.72,3.4,28.1,1.9,2.0,3.3,10.4,69.9,32.7,32.9,42.5,4353.8
EST,39,55.72,3.3,21.0,2.0,2.6,3.1,10.2,106.9,36.7,37.1,41.6,4026.1
EST,41,62.72,3.2,23.5,2.1,2.5,3.7,11.6,101.9,34.8,28.2,40.7,4441.1
EST,42,63.28,3.4,24.6,2.5,1.9,3.9,10.9,161.9,38.6,50.8,42.0,3876.6
EST,43,52.36,3.5,24.1,2.4,2.5,3.6,11.7,96.0,43.3,37.9,41.3,1020.5
EST,44,88.48,4.3,22.0,1.9,2.0,4.0,14.4,132.9,37.2,32.0,42.6,2370.3
EST,45,72.24,2.9,24.1,1.7,1.9,3.3,12.0,111.5,34.6,32.5,43.1,3782.2
EST,46,57.96,4.2,21.5,2.1,2.7,4.3,12.7,74.3,38.8,25.0,41.6,4179.2
EST,47,54.88,3.4,22.5,1.8,2.5,4.0,12.0,79.7,35.7,24.8,46.7,4732.7
EST,48,55.16,3.0,16.9,2.4,2.5,3.1,11.6,468.5,36.8,28.0,47.4,4851.7
EST,49,56.84,3.7,22.0,1.8,2.6,3.6,12.7,170.4,36.1,26.5,44.9,4167.0
